# Chapter IDs | distinction | group~definition | examples separated by ; | group~definition | examples
6-science-1|Classify nutrients by their principal role in this simplified comparison.|Energy sources~Carbohydrates and fats supply energy.|Starch;Dietary fat|Body building and regulation~Proteins support tissue growth; vitamins help regulate processes.|Protein;Vitamin C
6-science-2|Compare whether a material transmits light clearly.|Transparent~Most visible light passes through with little scattering.|Clear glass;Clean water|Opaque~Visible light does not pass through the bulk material.|Wood;Steel sheet
6-science-3|Choose the separation method suited to the mixture.|Filtration~An insoluble solid can be retained by a filter.|Sand in water;Tea leaves in tea|Evaporation~Remove solvent to recover a dissolved nonvolatile solid.|Salt solution;Sugar solution
6-science-5|Compare the movement possible at different joints.|Hinge joint~Movement is mainly bending and straightening in one plane.|Elbow;Knee|Ball-and-socket joint~Movement is possible about several axes.|Shoulder;Hip
6-science-11|Distinguish changes of state in the water cycle.|Evaporation~Liquid water changes into water vapour.|A puddle drying;Wet clothes drying|Condensation~Water vapour changes into liquid water.|Dew forming;Droplets outside a cold glass
6-mathematics-1|Read place value in base ten.|Thousands place~This digit represents multiples of 1000.|4 in 4,215;7 in 17,302|Hundreds place~This digit represents multiples of 100.|2 in 4,215;3 in 17,302
6-mathematics-2|Distinguish whole numbers from other real numbers.|Whole number~The whole numbers are 0, 1, 2, 3 and so on.|0;27|Not a whole number~Negative values and non-integer fractions are excluded.|−3;1/2
6-mathematics-3|Use the definition of a prime number.|Prime~A positive integer greater than 1 with exactly two positive divisors.|2;13|Not prime~1 has one positive divisor; a composite number has more than two.|1;15
6-mathematics-4|Compare bounded and unbounded geometric objects.|Bounded~The object has endpoints and finite length.|A line segment AB;A side of a triangle|Unbounded~The object extends indefinitely in at least one direction.|A ray AB;A line AB
6-mathematics-5,7-mathematics-5,9-mathematics-6|Classify angles by size.|Acute~An angle greater than 0° and less than 90°.|35°;75°|Obtuse~An angle greater than 90° and less than 180°.|110°;145°
6-mathematics-6,7-mathematics-1|Distinguish integers from non-integers.|Integer~An integer has no fractional part and may be negative, zero or positive.|−8;0|Not an integer~The value has a nonzero fractional part.|2.5;−3/4
6-mathematics-9|Distinguish categorical and numerical observations.|Categorical~The observation names a category, not a measured amount.|Favourite fruit;Colour of a bag|Numerical~The observation records a count or measured quantity.|Number of books;Height in centimetres
6-mathematics-12|Test whether ratios are equivalent to 2:3.|Equivalent~Multiplying both terms by the same nonzero factor preserves a ratio.|4:6;10:15|Not equivalent~Cross products with 2:3 are unequal.|4:5;6:8
6-mathematics-13,7-mathematics-12|Count reflection symmetries of ideal shapes.|Exactly one line~Only one reflection maps the shape onto itself.|A non-equilateral isosceles triangle;A non-rhombus kite|More than one line~Several distinct reflections map the shape onto itself.|A square;An equilateral triangle
